time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z
2021-06-17T15:56:22.649,0.06,-0.41,9.86,0.0625,0.125,-0.0625,-17.25,9.25,-45.5625
2021-06-17T15:56:22.662,0.06,-0.39,9.84,0.1875,0.0,0.0625,-17.25,9.25,-45.5625
2021-06-17T15:56:22.675,0.05,-0.42,9.86,0.125,-0.0625,0.0625,-17.25,9.25,-45.5625
2021-06-17T15:56:22.687,0.03,-0.4,9.86,0.0,0.0625,-0.0625,-17.25,9.25,-45.5625
2021-06-17T15:56:22.7,0.06,-0.4,9.85,0.0625,0.0,0.0625,-15.75,8.5,-45.25
2021-06-17T15:56:22.713,0.07,-0.42,9.87,0.0625,0.0625,0.0,-15.75,8.5,-45.25
2021-06-17T15:56:22.734,0.06,-0.4,9.85,0.125,-0.1875,0.0,-15.75,8.5,-45.25
2021-06-17T15:56:22.748,0.05,-0.4,9.87,0.0625,-0.125,0.0,-16.875,9.6875,-45.5625
2021-06-17T15:56:22.76,0.04,-0.4,9.86,0.0,0.0625,0.0625,-16.875,9.6875,-45.5625
2021-06-17T15:56:22.773,0.06,-0.39,9.82,0.0,0.0,0.0625,-16.875,9.6875,-45.5625
2021-06-17T15:56:22.786,0.05,-0.38,9.81,0.0,-0.0625,0.0,-16.875,9.6875,-45.5625
2021-06-17T15:56:22.799,0.05,-0.39,9.86,0.0625,-0.125,0.125,-15.75,8.5,-44.75
2021-06-17T15:56:22.812,0.06,-0.43,9.83,0.0,0.0,0.0,-15.75,8.5,-44.75
2021-06-17T15:56:22.824,0.05,-0.4,9.86,-0.0625,0.0,0.125,-15.75,8.5,-44.75
2021-06-17T15:56:22.837,0.05,-0.41,9.85,-0.125,0.0,0.0625,-15.75,8.5,-44.75
2021-06-17T15:56:22.85,0.06,-0.39,9.87,0.125,-0.0625,0.0,-16.5,10.0,-46.0625
2021-06-17T15:56:22.863,0.05,-0.39,9.85,0.0,-0.125,0.125,-16.5,10.0,-46.0625
2021-06-17T15:56:22.876,0.05,-0.41,9.84,0.0,0.125,0.0,-16.5,10.0,-46.0625
2021-06-17T15:56:22.889,0.05,-0.41,9.84,-0.0625,0.0625,0.0625,-16.5,10.0,-46.0625
2021-06-17T15:56:22.902,0.05,-0.41,9.86,-0.0625,0.0,0.0,-16.875,8.5,-45.5625
2021-06-17T15:56:22.915,0.05,-0.42,9.82,0.0,-0.0625,0.0,-16.875,8.5,-45.5625
2021-06-17T15:56:22.927,0.06,-0.39,9.83,-0.125,-0.125,0.0625,-16.875,8.5,-45.5625
2021-06-17T15:56:22.94,0.06,-0.39,9.86,0.0,0.125,0.0,-16.875,8.5,-45.5625
2021-06-17T15:56:22.964,0.04,-0.4,9.83,-0.1875,0.0625,-0.0625,-16.875,9.6875,-45.25
2021-06-17T15:56:22.981,0.07,-0.38,9.85,0.0,-0.0625,0.0625,-16.875,9.6875,-45.25
2021-06-17T15:56:22.994,0.04,-0.41,9.86,-0.0625,-0.0625,0.0625,-16.875,9.6875,-45.25
2021-06-17T15:56:23.007,0.06,-0.4,9.84,-0.0625,0.0625,-0.0625,-16.5,8.5,-44.75
2021-06-17T15:56:23.02,0.06,-0.39,9.83,-0.0625,0.125,-0.0625,-16.5,8.5,-44.75
2021-06-17T15:56:23.033,0.06,-0.41,9.83,-0.1875,0.125,0.1875,-16.5,8.5,-44.75
2021-06-17T15:56:23.046,0.05,-0.41,9.84,-0.0625,-0.0625,-0.0625,-16.5,8.5,-44.75
